STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LAT,LON
1,10398,29,6,2018,6,15,50,34.02570278,-87.6969
1,10399,29,6,2018,6,18,30,30.67318889,-88.0971
1,10400,30,6,2018,7,0,50,30.47797222,-88.2339
1,10401,30,6,2018,7,7,45,32.91541944,-85.9521
1,10402,30,6,2018,7,12,54,33.98967222,-86.9924
1,10403,30,6,2018,7,12,15,34.74883889,-86.7963
1,10404,30,6,2018,7,21,45,34.4677,-86.5651
1,10405,1,7,2018,1,3,30,34.52703056,-87.7082
1,10406,2,7,2018,2,4,10,30.49479444,-88.1696
1,10407,2,7,2018,2,14,30,34.25476944,-86.8744
1,10408,3,7,2018,3,22,45,32.07906667,-85.5272
1,10409,4,7,2018,4,18,45,31.05285,-85.6459
1,10410,4,7,2018,4,21,16,33.485825,-86.89
1,10411,5,7,2018,5,7,29,31.17446944,-85.3672
1,10412,5,7,2018,5,17,50,33.71599444,-86.1601
1,10413,6,7,2018,6,15,15,33.91037778,-87.1941
1,10414,7,7,2018,7,2,30,33.21958889,-87.5933
1,10415,7,7,2018,7,22,40,31.99288056,-87.7602
1,10416,9,7,2018,2,4,55,34.66037778,-85.6995
1,10417,10,7,2018,3,10,2,30.58913333,-88.1694
1,10418,10,7,2018,3,18,35,31.83550833,-85.1988
1,10419,10,7,2018,3,20,59,34.80105,-86.7105
1,10420,11,7,2018,4,22,20,33.82526667,-87.2498
1,10421,11,7,2018,4,15,10,34.58826389,-86.4589
1,10422,13,7,2018,6,5,55,33.49381944,-86.1285
1,10423,13,7,2018,6,21,41,32.31334444,-86.2252
1,10424,14,7,2018,7,21,41,30.58781944,-87.7291
1,10425,14,7,2018,7,15,6,34.43239722,-88.1341
1,10426,15,7,2018,1,5,25,34.54068333,-87.7069
1,10427,15,7,2018,1,7,45,31.36646389,-86.4601
1,10428,15,7,2018,1,21,15,30.84175,-88.3101
1,10429,16,7,2018,2,10,50,33.22045278,-87.4397
1,10430,17,7,2018,3,16,30,33.43956944,-86.8429
1,10431,17,7,2018,3,18,55,34.96863889,-86.4961
1,10432,18,7,2018,4,0,29,34.69891389,-86.6965
1,10433,18,7,2018,4,19,45,31.20250833,-87.311
1,10434,18,7,2018,4,16,3,33.46656111,-86.849
1,10435,19,7,2018,5,6,36,32.56678611,-86.125
1,10436,19,7,2018,5,6,30,32.774625,-85.173
1,10437,21,7,2018,7,23,30,34.48956667,-87.1467
1,10438,22,7,2018,1,19,24,32.34603333,-86.3291
1,10439,22,7,2018,1,11,35,33.07815,-88.1203
1,10440,23,7,2018,2,12,44,32.65761111,-85.4602
1,10441,24,7,2018,3,20,12,30.57054722,-88.1327
1,10442,26,7,2018,5,6,52,33.69461944,-86.6486
1,10443,26,7,2018,5,19,50,34.88921667,-86.9186
1,10444,26,7,2018,5,6,52,34.19228611,-86.7864
1,10445,27,7,2018,6,0,10,33.868075,-85.9001
1,10446,27,7,2018,6,8,35,34.38703333,-86.3912
1,10447,29,7,2018,1,8,22,31.3528,-86.1476
1,10448,30,7,2018,2,10,28,32.42260556,-86.2692
1,10449,30,7,2018,2,23,40,33.21766944,-86.7985
1,10450,31,7,2018,3,6,57,32.55902778,-85.5165
1,10451,1,8,2018,4,4,20,34.862725,-85.5928
1,10452,18,6,2018,2,11,52,30.73865278,-88.1106
1,10453,3,8,2018,6,21,30,31.21246111,-86.0208
1,10454,30,7,2018,2,14,5,34.33801944,-86.3129
1,10455,29,7,2018,1,20,35,33.43939167,-85.3868
1,10456,12,7,2018,5,6,1,34.365625,-86.2893
1,10457,4,7,2018,4,20,59,34.79037222,-86.9843
1,10458,24,6,2018,1,20,15,33.60401944,-86.0087
1,10459,8,6,2018,6,14,5,31.30386111,-86.0517
1,10460,28,5,2018,2,10,50,33.53990833,-86.7201
1,10461,4,5,2018,6,1,2,33.59638611,-85.9252
1,10462,28,8,2018,3,19,10,31.12944722,-87.4385
1,10463,25,8,2018,7,3,10,32.66224444,-86.5027
